,code,company,slope,intercept
172,3300,한일홀딩스,-159.12278698853675,156800.80730771014
174,52690,한전기술,-164.8515669022366,56035.266885322024
2,282330,BGF리테일,-183.1086336530983,193381.42770719904
195,57050,현대홈쇼핑,-188.30413980598587,151654.98795460482
101,28260,삼성물산,-190.47409737869225,158110.11161307467
185,12330,현대모비스,-196.10390433610877,273469.422111282
187,69960,현대백화점,-233.12818962764862,151262.16004411806
173,51600,한전KPS,-235.75295479999238,97358.50869300205
146,192400,쿠쿠홀딩스,-291.00434578008714,180288.66859588318
193,5380,현대차,-327.77210065619965,201983.03776158826
86,23530,롯데쇼핑,-397.07867889989063,302643.19507735176
104,18260,삼성에스디에스,-439.3885855396046,265436.3939324293
32,79550,LIG넥스원,-470.13355893152857,112289.42268461853
91,2270,롯데푸드,-481.6473283109991,806095.4343598526
30,108670,LG하우시스,-526.7283165371716,195652.35828520014
61,251270,넷마블,-542.4199897936867,168939.00208986417
157,2960,한국쉘석유,-575.5845628110393,506722.5640727948
182,86280,현대글로비스,-608.9460204156186,268679.28772530693
189,11210,현대위아,-630.0900176852623,185848.69387281223
198,298040,효성중공업,-632.3076923076924,57688.46153846154
58,3920,남양유업,-665.7151788660279,826135.3728267495
15,294870,HDC현대산업개발,-675.5839822024471,60667.63440860215
192,267250,현대중공업지주,-688.8076838958957,431544.01776384533
47,285130,SK케미칼,-902.0105865277897,113453.19303338171
70,42660,대우조선해양,-1071.7242313449844,239797.41677067312
19,2380,KCC,-1103.8838184019476,579520.5787594694
129,670,영풍,-1992.1625696309247,1361358.8947261486
89,5300,롯데칠성,-2095.801009604622,1994589.8180129451
